code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:26:18,Twisted Sister - (01) Come Out and Play
RB,Rádio Beat,2022-02-04 15:26:32,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 15:27:32,ACCEPT - MIDNIGHT HIGWAY
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:31:02,Dark Princess - (03) One Last Goodbye
RB,Rádio Beat,2022-02-04 15:31:31,JANIS JOPLIN - ME AND BOBBY MCGEE
MH,Metal Heart Radio,2022-02-04 15:32:03,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 15:32:19, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-02-04 15:32:34,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 15:33:03,Rosk - Infected - PL
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:35:33,Dark Moor - (07) When The Sun Is Gone
RB,Rádio Beat,2022-02-04 15:36:03,DEEP PURPLE - FOOLS
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:40:03,After Forever - (06) Digital Deceit
MH,Metal Heart Radio,2022-02-04 15:44:04,? - Metal_Heart_-_Hey_Headbangers
RB,Rádio Beat,2022-02-04 15:44:32,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 15:44:33,Metal Heart Radio - Metal Live EN
MH,Metal Heart Radio,2022-02-04 15:44:48,Neofelis Nebulosa - No One_s Gonna Save You
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:45:47,Asrai - (06) Tower
RB,Rádio Beat,2022-02-04 15:46:17,FRANTISEK SAHULA and SYNOVE VYCEPU - STINY NA DUSI
RB,Rádio Beat,2022-02-04 15:49:48,GEORGE THOROGOOD - BAD TO THE BONE
MH,Metal Heart Radio,2022-02-04 15:50:04,Lonewolf - Made In Hell _14 - FR
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:51:47,Endless Main - (06) Fall
MH,Metal Heart Radio,2022-02-04 15:54:19,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 15:54:34,Trauma - Colossus
RB,Rádio Beat,2022-02-04 15:55:02,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 15:56:03,Rimortis - (05) Labyrint vasni
MH,Metal Heart Radio,2022-02-04 16:00:04,? - Jingle_Cesta_kolem_sveta_long
